species,num_sequences,num_families,num_superfamilies,num_orders,families,superfamilies,orders,length_min,length_max,length_mean,length_median,gc_mean,gc_median,accession,assembly_name,gc_percent,n50,source,organism_type,max_copies_calculated,min_copies_calculated
Hydra vulgaris,859,23,7,2,"ACADEM-1,BELPAO,CACTA,COPIA,CR1,CRYPTON,GYPSY,HAT,HELITRON,I,KOLOBOK,L1,LINE,MERLIN,MULE,P,PIFHARBINGER,PIGGYBAC,PLE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",121,14896,3595.7962747380675,3418,31.328821561298092,30.648148148148145,GCF_038396675.1,HydraT2T_AEP,27.5,61145917,refseq,otro,17,14
Coregonus clupeaformis,812,22,5,2,"ACADEM-1,BELPAO,CACTA,COPIA,CR1,DIRS,ERV,GYPSY,HAT,I,L1,LARD,LINE,LTR,P,PIFHARBINGER,PIGGYBAC,RTE,SINE,TC1MARINER,TIR,TRNA","DIRS,LINE,LTR,SINE,TIR","CLASSI,CLASSII",129,16493,2993.2118226600987,2501,46.799570133341135,45.164481820430375,GCF_020615455.1,ASM2061545v1,44.0,2177185,refseq,animal,22,18
Arabidopsis thaliana,794,14,5,2,"CACTA,COPIA,GYPSY,HAT,HELITRON,L1,LINE,LTR,MULE,PIFHARBINGER,SINE,TC1MARINER,TIR,TRNA","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",103,14069,3502.9823677581862,3856,37.661522068571315,39.80263157894737,GCF_000001735.4,TAIR10.1,36.0,11194537,refseq,planta,19,16
Cuora amboinensis,759,20,6,2,"ACADEM-1,COPIA,CR1,DIRS,ERV,GYPSY,HAT,HELITRON,I,L1,LARD,LINE,LTR,P,PIFHARBINGER,RTE,SINE,TC1MARINER,TIR,TRNA","DIRS,HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",109,9101,2495.2490118577075,1742,48.94121837667118,47.2097498396408,GCA_004028625.2,ASM402862v2,44.5,47152,refseq,animal,29,23
Oryza barthii,713,15,5,2,"CACTA,COPIA,GYPSY,HAT,HELITRON,L1,LARD,LTR,MULE,P,PIFHARBINGER,SINE,TC1MARINER,TIR,TRNA","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",100,12005,2545.3856942496495,1281,42.73625146016237,42.87647138411582,GCA_051998315.1,ASM5199831v1,43.0,27137477,refseq,planta,30,24
Marmota marmota,711,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",83,8207,1139.6554149085794,614,45.71181691714907,45.45454545454545,GCF_001458135.2,marMar,40.0,66546,refseq,animal,67,55
Zeuzera pyrina,707,19,6,2,"BELPAO,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,I,L1,LARD,LINE,P,PIFHARBINGER,PIGGYBAC,R1,RTE,SINE,TC1MARINER,TIR","DIRS,HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",292,8659,3608.4257425742576,3496,40.37478596262998,37.939628911658815,GCA_907165235.1,ilZeuPyri1.1,35.0,23452699,refseq,animal,21,17
Cetonia aurata,707,16,3,2,"BELPAO,COPIA,CR1,GYPSY,HAT,I,LARD,LINE,MULE,P,PIFHARBINGER,PIGGYBAC,R1,RTE,TC1MARINER,TIR","LINE,LTR,TIR","CLASSI,CLASSII",430,11880,2523.3168316831684,1946,37.19440723218738,36.17719442165709,GCA_949128085.1,icCetAura1.1,35.0,8085049,refseq,animal,30,25
Heligmosomoides bakeri,681,20,7,2,"BELPAO,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,I,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,R1,RTE,SINE,TC1MARINER,TIR","DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",162,13556,3957.0381791483114,3655,45.58764064033484,45.39116963594113,GCA_947359475.1,nxHelBake1.1,46.0,293000,refseq,animal,20,16
Aldabrachelys gigantea,672,21,6,2,"ACADEM-1,CACTA,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,I,L1,LARD,LINE,LTR,P,PIFHARBINGER,PIGGYBAC,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,LINE,LTR,SINE,TIR","CLASSI,CLASSII",105,9108,2430.5550595238096,1519,48.54982777603408,47.234873129473,GCA_026122505.1,AldGig_1.0,44.5,58656949,refseq,animal,33,27
Cavia porcellus,665,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",83,8207,1176.0210526315789,644,45.445580182302514,44.75806451612903,GCF_034190915.1,mCavPor4.1,40.5,48931253,refseq,animal,70,57
Balaenoptera acutorostrata,657,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,8207,1149.1400304414003,636,45.62171634459245,44.9811320754717,GCF_949987535.1,mBalAcu1.1,41.5,3015723,refseq,animal,72,59
Ypsolopha scabrella,649,18,5,2,"ACADEM-1,BELPAO,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,I,LARD,LINE,LTR,MULE,P,PIFHARBINGER,R1,RTE,TC1MARINER","DIRS,HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",535,10421,4231.412942989215,4435,39.06272358033457,38.07675722294092,GCA_910592155.1,ilYpsScab1.1,37.0,26541151,refseq,animal,20,16
Blera fallax,646,14,4,2,"BELPAO,COPIA,CR1,GYPSY,HAT,HELITRON,I,LINE,LTR,P,PIFHARBINGER,R1,RTE,TC1MARINER","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",330,18063,3545.4179566563466,3533,43.92174672991537,45.73991031390135,GCA_946965025.1,idBleFall4.1,39.5,5586187,refseq,animal,24,19
Anolis carolinensis,643,20,6,2,"ALU,BELPAO,CACTA,COPIA,CR1,DIRS,ERV,GYPSY,HAT,HELITRON,I,L1,LARD,LINE,LTR,RTE,SINE,TC1MARINER,TIR,TRNA","DIRS,HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",141,9172,3525.191290824261,4084,44.96684966476286,46.4344262295082,GCF_035594765.1,rAnoCar3.1.pri,40.5,26091274,refseq,animal,24,19
Orycteropus afer,637,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,6893,1210.7409733124018,680,45.39594700734304,44.759671746776085,GCF_000298275.1,OryAfe1.0,40.0,17683,refseq,animal,71,58
Bos indicus,637,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,8207,1191.0361067503925,659,45.53103018220755,44.9811320754717,GCF_029378745.1,NIAB-ARS_B.indTharparkar_mat_pri_1.0,42.0,42080189,refseq,animal,72,59
Apoderus coryli,635,18,5,2,"BELPAO,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,I,LINE,LTR,MULE,P,PIFHARBINGER,PIGGYBAC,R1,RTE,TC1MARINER,TIR","DIRS,HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",199,13305,2950.3622047244094,2497,37.02941138322092,36.79141441937259,GCA_911728435.2,icApoCory1.2,32.5,15031106,refseq,animal,29,24
Ceratotherium simum,634,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,8207,1171.8233438485804,647,45.40049988534864,44.78114478114478,GCF_000283155.1,CerSimSim1.0,41.0,92960,refseq,animal,74,60
Arabidopsis lyrata,632,11,5,2,"CACTA,HAT,HELITRON,L1,LINE,LTR,MULE,PIFHARBINGER,TC1MARINER,TIR,TRNA","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",153,14996,2711.2927215189875,1588,34.60982989847069,34.84573502722323,GCF_000004255.2,v.1.0,36.0,227391,refseq,planta,32,26
Enhydra lutris,626,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,8207,1185.115015974441,661,45.467834158852476,44.95412844036697,GCF_002288905.1,ASM228890v2,41.5,244548,refseq,animal,74,60
Sorghum bicolor,624,14,5,2,"CACTA,COPIA,GYPSY,HAT,HELITRON,L1,LINE,LTR,MULE,PIFHARBINGER,RTE,TC1MARINER,TIR,TRNA","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",124,16767,4797.791666666667,5019,46.58364044526799,46.07190412782956,GCF_000003195.3,Sorghum_bicolor_NCBIv3,44.0,1310030,refseq,planta,18,15
Aplectana chamaeleonis,616,11,4,2,"BELPAO,CR1,DIRS,GYPSY,HAT,I,LARD,LINE,RTE,TC1MARINER,TIR","DIRS,LINE,LTR,TIR","CLASSI,CLASSII",535,12358,3907.8165584415583,3870,46.76110178973173,46.987540535927636,GCA_029168955.1,ASM2916895v1,46.0,1075597,refseq,animal,22,18
Bos taurus,613,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,8207,1187.7650897226754,663,45.35952472833156,44.74708171206226,GCF_002263795.3,ARS-UCD2.0,42.0,26402946,refseq,animal,75,61
Capra hircus,613,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,8207,1187.7650897226754,663,45.35952472833156,44.74708171206226,GCF_001704415.2,ARS1.2,43.0,26244591,refseq,animal,75,61
Carollia perspicillata,612,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,8207,1181.4313725490197,661,45.38664286433657,44.78114478114478,GCA_004027735.1,CarPer_v1_BIUU,42.5,10341,refseq,animal,76,62
Myotis davidii,612,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,8207,1181.4313725490197,661,45.38664286433657,44.78114478114478,GCF_000327345.1,ASM32734v1,42.5,15182,refseq,animal,76,62
Equus asinus,609,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,8207,1186.6912972085386,663,45.31945309349341,44.74708171206226,GCF_041296235.1,EquAss-T2T_v2,42.5,102829910,refseq,animal,76,62
Canis lupus,609,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,8207,1192.7454844006568,664,45.3186730125893,44.74708171206226,GCF_003254725.2,ASM325472v2,41.0,40716615,refseq,animal,75,61
Nematostella vectensis,599,24,8,2,"ACADEM-1,BELPAO,CACTA,COPIA,CR1,CRYPTON,DIRS,GYPSY,HAT,HELITRON,I,KOLOBOK,L1,LINE,LTR,MULE,P,PIFHARBINGER,PIGGYBAC,PLE,RTE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",103,11406,2209.9782971619366,1410,43.12749592135417,42.857142857142854,GCF_932526225.1,jaNemVect1.1,40.5,2927189,refseq,animal,41,33
Acanthoscelides obtectus,593,17,5,2,"BELPAO,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,I,L1,LINE,P,PIFHARBINGER,PIGGYBAC,R1,RTE,TC1MARINER,TIR","DIRS,HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",158,11178,3099.308600337268,2948,37.382973938537766,36.443418013856814,GCA_963669975.1,AobtHiC_assembly,37.5,772864,refseq,animal,29,24
Apolygus lucorum,585,17,5,2,"BELPAO,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,I,L1,LINE,LTR,MULE,PIGGYBAC,R1,RTE,TC1MARINER,TIR","DIRS,HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",189,10458,3728.5555555555557,4224,43.057170212212064,42.96875,GCA_009739505.2,ASM973950v2,39.5,783891,refseq,animal,25,20
Xenopus tropicalis,572,19,7,2,"BELPAO,CACTA,COPIA,CR1,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LTR,MERLIN,PIFHARBINGER,PIGGYBAC,PLE,TC1MARINER,TIR,TRNA","DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",156,14757,3957.5664335664337,4787,44.69271839803351,44.041769041769044,GCF_000004195.4,UCB_Xtro_10.0,40.5,14634335,refseq,animal,24,19
Corbicula fluminea,568,21,7,2,"ACADEM-1,BELPAO,CACTA,CR1,CRYPTON,GYPSY,HAT,HELITRON,I,KOLOBOK,L1,MERLIN,MULE,P,PIFHARBINGER,PIGGYBAC,PLE,RTE,TC1MARINER,TIR,TRNA","CRYPTON,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",207,14559,3932.614436619718,3776,37.0864883137199,36.33459192564624,GCA_001632725.1,ASM163272v1,35.0,849,refseq,animal,24,20
Loxodonta africana,566,22,8,2,"ALU,CR1,CRYPTON,DIRS,ERV,GYPSY,HAT,HELITRON,KOLOBOK,L1,LINE,LTR,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,DIRS,HELITRON,LINE,LTR,PLE,SINE,TIR","CLASSI,CLASSII",104,6893,1156.083038869258,663,45.26699567263362,44.48979591836735,GCF_030014295.1,mLoxAfr1.hap2,41.0,82653632,refseq,animal,84,68
Lepeophtheirus salmonis,560,20,6,2,"ACADEM-1,BELPAO,CACTA,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,L1,LINE,LTR,MERLIN,MULE,P,PIFHARBINGER,PIGGYBAC,PLE,TC1MARINER,TIR","DIRS,HELITRON,LINE,LTR,PLE,TIR","CLASSI,CLASSII",177,9312,2283.2875,1683,35.86815316088308,34.943786083257365,GCF_016086655.4,UVic_Lsal_1.4,31.0,4499711,refseq,animal,43,35
Scyliorhinus canicula,559,15,5,2,"COPIA,CR1,DIRS,ERV,GYPSY,HAT,I,L1,LARD,LINE,MULE,RTE,SINE,TC1MARINER,TIR","DIRS,LINE,LTR,SINE,TIR","CLASSI,CLASSII",112,9846,4524.701252236136,4765,53.08897898786123,54.58409228901032,GCF_902713615.1,sScyCan1.1,47.5,1862211,refseq,animal,21,17
Ypsolopha sequella,550,18,6,2,"ACADEM-1,BELPAO,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,I,LINE,LTR,MULE,P,PIFHARBINGER,R1,RTE,SINE,TC1MARINER","DIRS,HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",314,13204,3966.4345454545455,4074,38.968115253446726,38.42997811816193,GCA_934047225.1,ilYpsSequ2.1,36.0,20841000,refseq,animal,25,20
Drosophila takahashii,534,19,5,2,"BELPAO,CACTA,COPIA,CR1,GYPSY,HAT,HELITRON,I,KOLOBOK,MERLIN,MULE,P,PIFHARBINGER,PIGGYBAC,PLE,R1,RTE,TC1MARINER,TIR","HELITRON,LINE,LTR,PLE,TIR","CLASSI,CLASSII",116,12150,4269.565543071161,4394,39.5506411670689,39.33601609657948,GCF_030179915.1,DtakHiC1v2,39.5,16603674,refseq,animal,24,19
Solanum tuberosum,532,15,5,2,"CACTA,COPIA,ERV,GYPSY,HAT,HELITRON,L1,LARD,MULE,P,PIFHARBINGER,RTE,TC1MARINER,TIR,TRNA","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",116,11388,3756.6616541353383,4387,37.36616654002732,38.33364821462309,GCF_000226075.1,SolTub_3.0,35.0,31914,refseq,planta,27,22
Acrossocheilus wenchowensis,531,17,4,2,"BELPAO,CACTA,CR1,DIRS,ERV,GYPSY,HAT,I,L1,LARD,LINE,LTR,MERLIN,PIFHARBINGER,RTE,TC1MARINER,TIR","DIRS,LINE,LTR,TIR","CLASSI,CLASSII",128,13466,4153.683615819209,4974,48.637181562886,49.62686567164179,GCA_029620275.1,ASM2962027v1,37.5,2432960,refseq,animal,24,20
Beris chalybata,525,16,4,2,"BELPAO,CACTA,COPIA,CR1,GYPSY,HAT,HELITRON,I,LINE,P,PIFHARBINGER,PIGGYBAC,R1,RTE,TC1MARINER,TIR","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",196,12658,4689.874285714286,4370,40.78875651985327,40.217049386599555,GCA_949128065.1,idBerChal2.1,37.0,12861354,refseq,animal,22,18
Brassica oleracea,520,12,5,2,"CACTA,COPIA,ERV,GYPSY,HAT,HELITRON,L1,LARD,MULE,PIFHARBINGER,SINE,TIR","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",124,15422,6224.998076923077,6143,43.004958220935094,42.94316346012631,GCF_000695525.1,BOL,36.0,21920,refseq,planta,16,13
Yponomeuta plumbellus,508,19,6,2,"BELPAO,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,I,LARD,LINE,LTR,MULE,P,PIFHARBINGER,PIGGYBAC,R1,RTE,SINE,TC1MARINER","DIRS,HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",166,8694,4040.797244094488,4409,42.23238395189774,41.65593613185681,GCA_947310845.1,ilYpoPlub1.1,39.0,21017000,refseq,animal,26,21
Chionoecetes opilio,505,14,4,2,"ACADEM-1,CACTA,CR1,GYPSY,HAT,HELITRON,I,KOLOBOK,MERLIN,MULE,P,PIFHARBINGER,PIGGYBAC,TC1MARINER","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",205,13222,3882.8930693069306,3585,44.456613999561306,43.77688770212135,GCA_016584305.1,ASM1658430v1,42.0,149622,refseq,animal,28,22
Raphanus sativus,483,10,5,2,"CACTA,GYPSY,HAT,HELITRON,L1,LTR,MULE,PIFHARBINGER,TC1MARINER,TRNA","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",130,11520,3489.8426501035196,2788,37.10286224007897,39.73143759873617,GCF_000801105.2,ASM80110v3,36.0,184024,refseq,planta,32,26
Juglans californica,480,12,5,2,"CACTA,COPIA,ERV,GYPSY,HAT,HELITRON,L1,LARD,LTR,PIFHARBINGER,SINE,TIR","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",173,16322,5266.647916666667,5182,41.27421110407768,42.0129270544783,GCA_023349395.1,dhJugCali1.0.p,37.0,30178554,refseq,planta,21,17
